,0
IFI35,99
SKI,89
CAVIN2,82
GREM2,82
CTTNBP2,69
EVA1C,64
TPPP,64
PLEKHA7,62
OXR1,61
ZBTB7B,56
SERPIND1,54
TRPM6,54
AHSG,51
KNG1,47
SRSF2,41
KRT13,35
CFI,34
PLCD1,33
EIF4EBP2,32
FAM129B,31
MCF2L,31
N4BP3,30
ALDH1A1,30
SPTAN1,30
ADD3,27
MAP6,25
PIP5K1C,25
CENPH,22
STAT2,22
PDLIM2,21
LURAP1,20
ARHGAP20,19
TH,19
TRAM2,18
KLC2,18
EBF1,17
KRT4,17
GPS1,15
STAB2,15
MINDY1,15
CPEB3,15
CBLB,14
ASPG,12
UBE2M,11
ORM1,10
ANKRD35,10
ZNF622,10
PCDH1,10
SOCS6,10
SPTBN1,9
APOB,9
DCN,9
CSNK2A2,9
TJP1,9
EPB41L5,9
DMTN,8
GFRA1,8
SHROOM3,8
LPIN1,7
MAGI3,7
OSBPL3,7
FOXO4,7
PLEKHA6,7
FNDC3B,7
FETUB,6
GYPA,6
CDK9,6
EVPL,5
SASH1,5
MEIS1,5
TCEAL6,5
NAXD,5
SAMSN1,5
PPP1R1C,4
TP53INP2,4
JMJD7-PLA2G4B,4
SYN2,4
NFIX,4
HMGXB3,4
AKT2,4
ADD1,4
CNOT10,4
TMOD2,4
KANK3,4
SLC2A6,4
AQP1,4
NFIA,4
ZC3HAV1,3
CRNN,3
LUM,3
ALDH9A1,3
SERPINA1,3
COA5,3
FNIP2,3
LNX1,3
TSC22D3,3
CSTA,3
MUC21,3
TRIOBP,2
KCTD5,2
RECQL,2
SF3A2,2
CLCN5,2
SCEL,2
ARHGEF10L,2
MYRIP,2
IKZF2,2
GRAMD1A,2
PARD3B,2
OSR1,2
ANK2,2
AP4B1,1
EPB41L4A,1
ZNF362,1
TJP3,1
MED23,1
AKR7A2,1
VCPIP1,1
GBP6,1
EML4,1
MEOX2,1
GMPS,1
ZFYVE28,1
SCNN1B,1
CLPTM1,1
SNTB2,1
SPRR3,1
MASTL,1
SLC7A6,1
AKAP12,1
PRRC2C,1
FGD6,1
GNG12,1
MACF1,1
ITIH2,1
BCAS1,1
DRP2,1
LIFR,1
KIAA1211L,1
TALDO1,1
SNX15,1
ANXA1,1
OTUD4,1
NLRC4,1
DDX60,1
XAF1,1
RORA,1
TCEA3,1
CAVIN1,1
RNF167,1
